"","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","Albendazole","All_4_Pools","Ancitabine","Aspirin","Atrazine","BetaEstradiol","BisphenolA","BLANK","Bortezomib","Chloroquine","Control","Daidzein","Dexamethasone","Diethylstilbestrol","Dimephentioate","Diuron","Erlotinib","Gefitinib","Genistein","Glyphosate","Hydrocortisone","Ibuprofen","Lapatinib","Mebendazole","NVP-BEZ235","Octylmethoxycinnamate","Phthalate","PoolBatch1","PoolBatch2","Prednisolone","Quercetin","Rapamycin","Tamoxifen","PoolBatch3","PoolBatch4","Thiram","TrichostatinA","Vinblastine","Vincristine","Vorinostat","Wortmannin"
"1",130.159216584694,130.158905915462,130.159304809547,1245.65200480196,1243.9558020609,1248.27068959577,205,3,10,3,3,3,3,3,25,3,3,24,3,3,3,3,3,3,3,3,3,3,3,3,15,3,3,3,8,8,3,3,3,3,8,8,3,3,3,3,3,3
"2",130.159256604811,130.158586001801,130.159340803247,1016.64911180139,1015.66405862481,1017.98344745664,205,3,10,3,3,3,3,3,25,3,3,24,3,3,3,3,3,3,3,3,3,3,3,3,15,3,3,3,8,8,3,3,3,3,8,8,3,3,3,3,3,3
"3",130.123755611803,130.12229443985,130.126706230121,559.068662846656,553.66093777571,572.769523184073,155,1,10,2,1,1,3,1,25,3,0,17,2,1,1,2,3,1,3,2,2,3,2,3,13,0,3,1,7,8,2,3,3,2,8,8,2,2,1,0,1,2
"4",130.049983485052,130.026033518024,130.078069300778,42.2288298337977,17.211055413119,73.4153257917205,199,3,10,3,3,3,3,3,22,3,3,24,3,3,3,3,3,3,3,3,3,3,3,3,15,3,3,3,8,8,3,3,3,3,8,8,3,3,3,3,0,3
"5",130.008648886057,130.008343358685,130.009965583744,1277.66762409962,1276.03293785162,1279.25800958249,88,0,0,0,2,2,2,0,25,3,0,10,2,0,0,0,2,0,1,0,2,3,0,3,3,0,2,1,5,0,0,1,3,1,0,6,2,2,0,0,3,2
"6",130.008266899009,130.008046245219,130.008519931161,1058.06399038683,1054.28911655727,1061.31052300613,12,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"7",130.772343796211,130.771560556474,130.794908145228,620.850207208846,620.777059904992,620.988095812905,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",130.990967634861,130.987462808327,131.043834822119,1267.89001232839,1266.21988376791,1270.0468223906,205,3,10,3,3,3,3,3,25,3,3,24,3,3,3,3,3,3,3,3,3,3,3,3,15,3,3,3,8,8,3,3,3,3,8,8,3,3,3,3,3,3
"9",131.06720474923,130.924884394053,131.117553248821,37.2126830441958,14.536802013119,101.991152981495,203,3,10,3,3,2,3,3,25,3,3,23,3,3,3,3,2,3,3,3,3,3,3,3,15,3,3,3,7,8,3,3,3,3,8,8,2,3,3,3,0,3
"10",131.159994036258,131.159161805026,131.162582860713,1244.36578594247,1243.32020855956,1245.71137356171,52,1,3,0,1,0,1,2,2,1,1,9,0,1,1,1,1,1,0,1,0,1,1,0,6,1,0,0,3,3,1,2,0,1,2,1,1,0,1,1,0,0
