"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205"
"1",9774,14272,15177,16084,16994,17882,18803,19671,20515,21442,22345,23211,24079,25005,25940,26828,27746,28653,29581,30508,31404,32313,33244,34171,35073,36000,36930,37812,38733,39620,40520,41450,42332,43223,44123,45023,45899,46819,47741,48663,49580,50474,51391,52251,53169,54026,54895,55765,56661,57554,58422,59285,60173,61055,61917,62790,63683,64607,65515,66418,67305,68177,69086,69959,70869,71798,72670,73522,74400,75283,76145,77059,77952,78823,79710,80608,81477,82373,83293,84212,85128,86005,86890,87776,88682,89581,90483,91353,92277,93200,94078,94974,95888,96810,97680,98585,99514,100418,101282,102142,103011,103889,104778,105649,106571,107502,108431,109323,110204,111093,112015,113732,114611,115534,116414,117296,118207,119070,119934,120837,121756,122629,123516,124381,125256,126126,127047,127935,128842,129735,130656,131571,132456,133329,134211,135065,135922,136854,137755,138665,139540,140459,141327,142199,143085,143959,144866,145733,146592,147510,148435,149335,150256,151130,152009,152907,153813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",263,354,757,833,1275,1808,1880,1994,2160,2337,2676,2929,3051,3124,3462,3710,3912,4011,4118,4253,4837,4920,5395,5525,5769,6173,6678,6757,7062,7160,7427,7620,7678,7743,8008,8075,8186,8329,8405,8644,8762,9094,9264,9905,12001,12246,12620,12794,12916,13024,13119,13308,13684,13764,13834,13948,14273,15178,16085,18804,19672,20516,23212,24080,25006,25941,27747,28654,29582,30509,31405,32314,33245,36001,37813,39621,41451,42333,43224,45024,45900,47742,50475,51392,52252,54027,55766,60174,61056,61918,62791,63684,66419,67306,68178,69087,70870,72671,74401,75284,76146,77953,78824,79711,80609,83294,84213,85129,87777,88683,90484,94079,94975,98586,101283,103890,104779,106572,107503,109324,110205,111094,112016,112896,114612,115535,116415,117297,118208,119071,119935,120838,121757,122630,123517,124382,125257,126127,127048,127936,128843,129736,130657,131572,132457,134212,135923,136855,137756,139541,143960,145734,146593,147511,152010,152908,153814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",87,1996,2587,5640,5980,7935,12443,14137,14274,16086,16995,17883,18805,19673,20517,21443,22346,23213,24081,25007,25942,26829,27748,28655,29583,30510,31406,32315,33246,34172,35074,36002,37814,38734,39622,40521,41452,42334,44124,45025,45901,46820,47743,48664,49581,50476,51393,52253,53170,54028,54896,55767,56662,57555,58423,59286,60175,61057,61919,62792,63685,64608,65516,66420,67307,68179,69088,69960,70871,71799,73523,74402,76147,77060,77954,78825,79712,80610,81478,82374,83295,84214,85130,86006,86891,87778,88684,89582,90485,91354,92278,93201,94080,95889,96811,97681,98587,99515,100419,101284,102143,103012,103891,104780,105650,106573,107504,108432,109325,110206,111095,112017,112897,113733,114613,115536,116416,117298,118209,119072,119936,120839,121758,122631,123518,124383,125258,126128,127049,127937,128844,129737,130658,131573,132458,133330,134213,135066,135924,137757,138666,139542,140460,141328,142200,143086,143961,144867,145735,146594,147512,148436,149336,150257,151131,152011,153815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",976,8536,13134,14275,15179,16087,16996,17884,18806,19674,20518,21444,22347,24082,25008,25943,26830,27749,28656,29584,30511,31407,32316,33247,34173,35075,36003,36931,37815,38735,39623,40522,41453,42335,43225,44125,45026,45902,46821,47744,48665,49582,50477,51394,52254,53171,54029,54897,55768,56663,57556,58424,59287,60176,61058,61920,62793,63686,64609,65517,66421,67308,68180,69089,69961,70872,71800,72672,73524,74403,75285,76148,77061,77955,78826,79713,80611,81479,82375,83296,84215,85131,86007,86892,87779,88685,89583,90486,91355,92279,93202,94081,94976,95890,96812,97682,98588,99516,100420,102144,103013,103892,104781,105651,106574,107505,108433,109326,110207,111096,112018,112898,113734,114614,115537,116417,117299,118210,119073,119937,120840,121759,122632,123519,124384,125259,126129,127050,127938,128845,129738,130659,131574,132459,133331,134214,135067,135925,136856,137758,138667,139543,140461,141329,142201,143962,144868,145736,146595,147513,148437,149337,150258,151132,152012,152909,153816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",9778,14276,15180,16088,16997,17885,18807,19675,20519,21445,22348,23214,24083,25009,25944,26831,27750,28657,29585,30512,31408,32317,33248,34174,35076,36004,36932,37816,38736,39624,40523,41454,42336,43226,44126,45027,45903,46822,47745,48666,49583,50478,51395,52255,53172,54030,54898,55769,56664,57557,58425,59288,60177,61059,61921,62794,63687,64610,65518,66422,67309,68181,69090,69962,70873,71801,72673,73525,74404,75286,76149,77062,77956,78827,79714,80612,81480,82376,83297,84216,85132,86008,86893,87780,88686,89584,90487,91356,92280,93203,94082,94977,95891,96813,97683,98589,99517,100421,101285,102145,103014,103893,104782,105652,106575,107506,108434,109327,110208,111097,112019,113735,114615,115538,116418,117300,118211,119074,119938,120841,121760,122633,123520,124385,125260,126130,127051,127939,128846,129739,130660,131575,132460,133332,134215,135068,135926,136857,137759,138668,139544,140462,141330,142202,143087,143963,144869,145737,146596,147514,148438,149338,150259,151133,152013,152910,153817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",3150,4278,4395,9032,9677,9681,12654,12850,12952,14277,15181,16089,16998,17886,18808,19676,20520,21446,22349,23215,24084,25010,25945,26832,27751,28658,29586,30513,31409,32318,33249,34175,35077,36005,36933,37817,38737,39625,40524,41455,42337,43227,44127,45028,45904,46823,47746,48667,50479,51396,52256,53173,54031,54899,55770,56665,57558,58426,61060,61922,62795,63688,64611,65519,66423,67310,68182,69091,69963,70874,71802,72674,73526,74405,75287,76150,77063,77957,78828,79715,80613,81481,82377,83298,84217,85133,86009,86894,87781,88687,89585,90488,91357,92281,93204,94083,94978,95892,96814,97684,98590,99518,100422,101286,102146,103015,103894,105653,106576,107507,108435,109328,110209,111098,112899,113736,114616,115539,116419,117301,118212,119075,119939,120842,121761,122634,123521,124386,125261,126131,127052,127940,128847,129740,130661,131576,132461,133333,134216,135069,135927,136858,137760,139545,142203,143088,143964,144870,145738,146597,147515,148439,149339,150260,151134,152014,152911,153818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",177,265,418,557,699,836,1175,1276,1419,1473,1526,1619,1882,1940,2094,2252,2391,2754,3271,3463,3592,3709,3821,4686,5277,5872,6174,6258,7063,7159,7428,7509,7847,8007,8519,8643,8763,8867,9265,9356,9739,10179,10281,11481,12533,13023,13227,13426,13829,14278,15182,17887,21447,23216,24085,25011,27752,32319,33250,34176,36934,38738,40525,42338,43228,44128,45905,46824,47747,48668,49584,50480,52257,56666,57559,58427,59289,60178,61061,61923,63689,64612,65520,66424,67311,68183,69964,70875,71803,72675,73527,75288,76151,78829,79716,80614,81482,82378,83299,84218,85134,87782,88688,91358,92282,93205,94979,96815,97685,98591,99519,100423,104783,105654,106577,107508,110210,111099,112020,113737,114617,115540,118213,119076,119940,120843,121762,122635,123522,124387,125262,126132,127053,128848,129741,130662,131577,132462,133334,134217,135070,135928,136859,138669,139546,140463,141331,143089,144871,146598,147516,148440,149340,151135,152015,152912,153819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",960,961,1694,2757,2996,3597,3598,6822,7066,7162,7264,7506,7629,7744,8013,13311,13312,13616,14279,15183,16090,16999,17888,18809,19677,20521,21448,22350,24086,25012,25946,26833,27753,28659,29587,30514,31410,33251,34177,35078,36006,36935,37818,38739,39626,40526,41456,42339,43229,44129,45906,46825,48669,49585,50481,51397,52258,53174,54900,55771,56667,57560,58428,59290,60179,61062,61924,62796,63690,64613,65521,66425,67312,68184,69092,69965,70876,71804,72676,73528,74406,75289,76152,77064,77958,78830,79717,80615,81483,82379,84219,85135,88689,89586,92283,94084,94980,96816,97686,98592,99520,100424,101287,102147,103016,103895,104784,105655,106578,107509,108436,109329,110211,111100,112021,112900,113738,114618,115541,116420,117302,118214,119077,119941,120844,121763,122636,123523,124388,125263,126133,127054,127941,128849,129742,130663,131578,132463,133335,134218,135071,135929,136860,137761,138670,139547,140464,141332,142204,143090,143965,145739,146599,148441,149341,150261,151136,152016,152913,153820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",8521,14280,15184,16091,17000,17889,18810,19678,20522,21449,22351,23217,24087,25013,25947,26834,27754,28660,29588,30515,31411,32320,33252,34178,35079,36007,36936,37819,38740,39627,40527,41457,42340,43230,44130,45029,45907,46826,47748,48670,49586,50482,51398,52259,53175,54032,54901,55772,56668,57561,58429,59291,60180,61063,61925,62797,63691,64614,65522,66426,67313,68185,69093,69966,70877,71805,72677,73529,74407,75290,76153,77065,77959,78831,79718,80616,81484,82380,83300,84220,85136,86010,86895,87783,88690,89587,90489,91359,92284,93206,94085,94981,95893,96817,97687,98593,99521,100425,102148,103017,103896,104785,105656,106579,107510,108437,109330,110212,111101,112022,112901,113739,114619,115542,116421,117303,118215,119078,119942,120845,121764,122637,123524,124389,125264,126134,127055,127942,128850,129743,130664,131579,132464,133336,134219,135072,135930,136861,137762,138671,139548,140465,141333,142205,143091,143966,144872,145740,146600,147517,148442,149342,150262,151137,152017,152914,153821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",958,7741,14281,15185,16092,17001,17890,18811,19679,20523,21450,22352,24088,25014,25948,26835,27755,28661,29589,30516,31412,32321,33253,34179,35080,36008,36937,37820,38741,39628,40528,41458,42341,43231,44131,45030,45908,46827,47749,48671,49587,50483,51399,52260,53176,54033,54902,55773,56669,57562,58430,59292,60181,61064,61926,62798,63692,64615,65523,66427,67314,68186,69094,69967,70878,71806,72678,73530,74408,75291,76154,77066,77960,78832,79719,80617,81485,82381,83301,84221,85137,86011,86896,87784,88691,89588,90490,91360,92285,94086,94982,95894,96818,97688,98594,99522,100426,101288,102149,103018,103897,104786,105657,106580,107511,108438,109331,110213,111102,112023,112902,113740,114620,115543,116422,117304,118216,119079,119943,120846,121765,122638,123525,124390,125265,126135,127056,127943,128851,129744,130665,131580,132465,133337,134220,135073,135931,136862,137763,138672,139549,140466,141334,142206,143092,143967,144873,145741,146601,147518,148443,149343,150263,151138,152018,152915,153822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
